Species_W&R05,Species_W&R93,Clade,Order,Family,AdultBodyMass_g,MaxLongevity_m,CitationCountMarch2011,PSR,WBC
Ichneumia albicauda,Ichneumia albicauda,C,CARNIVORA,HERPESTIDAE,3628.4,177.6,60,1,NA
Ictonyx striatus,Ictonyx striatus,C,CARNIVORA,MUSTELIDAE,811.02,160,55,1,NA
Kobus ellipsiprymnus,Kobus ellipsiprymnus,U,CETARTIODACTYLA,BOVIDAE,204393.48,239.04,315,25,6.163
Kobus kob,Kobus kob,U,CETARTIODACTYLA,BOVIDAE,80035.21,263.04,122,1,6.421
Kobus leche,Kobus leche,U,CETARTIODACTYLA,BOVIDAE,88645.04,222.96,177,7,3.898
Lagothrix lagotricha,Lagothrix lagotricha,P,PRIMATES,ATELIDAE,6263.69,360,217,6,12.7
Lama glama,Lama glama,U,CETARTIODACTYLA,CAMELIDAE,78322.67,346.8,1019,1,13.36
Lemur catta,Lemur catta,P,PRIMATES,LEMURIDAE,2626.48,360,1110,9,8.642
Leontopithecus chrysomelas,Leontopithecus chrysomelas,P,PRIMATES,CALLITRICHIDAE,572.8,255.6,178,3,8.396
Leontopithecus chrysopygus,Leontopithecus chrysopygus,P,PRIMATES,CALLITRICHIDAE,656.12,214.8,103,1,7.121
Leontopithecus rosalia,Leontopithecus rosalia,P,PRIMATES,CALLITRICHIDAE,592.52,297.6,468,8,8.157
Leopardus colocolo,Oncifelis colocolo,C,CARNIVORA,FELIDAE,2950,235.2,41,1,8.392
Leopardus geoffroyi,Oncifelis geoffroyi,C,CARNIVORA,FELIDAE,4000,276,96,1,9.804
Leopardus pardalis,Leopardus pardalis,C,CARNIVORA,FELIDAE,11880,338.4,322,6,10.16
Leopardus tigrinus,Leopardus tigrinus,C,CARNIVORA,FELIDAE,2205,262.8,108,1,NA
Leopardus wiedii,Leopardus wiedii,C,CARNIVORA,FELIDAE,3270.81,240,100,1,9.665
Lepilemur mustelinus,Lepilemur mustelinus,P,PRIMATES,LEPILEMURIDAE,669.03,144,61,5,NA
Lepilemur ruficaudatus,Lepilemur ruficaudatus,P,PRIMATES,LEPILEMURIDAE,763.36,91.2,53,6,NA
Leptailurus serval,Leptailurus serval,C,CARNIVORA,FELIDAE,11999.96,276,90,4,9.101
Lontra canadensis,Lontra canadensis,C,CARNIVORA,MUSTELIDAE,8087.42,300,191,89,7.33
Lontra longicaudis,Lontra longicaudis,C,CARNIVORA,MUSTELIDAE,6554.97,178.8,93,1,NA
Lophocebus albigena,Lophocebus albigena,P,PRIMATES,CERCOPITHECIDAE,7418.71,392.4,132,15,7.974
Lophocebus aterrimus,Lophocebus aterrimus,P,PRIMATES,CERCOPITHECIDAE,6510.37,321.6,17,3,NA
Lutra lutra,Lutra lutra,C,CARNIVORA,MUSTELIDAE,8868.69,264,2609,46,NA
Lycalopex culpaeus,Pseudalopex culpaeus,C,CARNIVORA,CANIDAE,8616.24,157.2,92,6,NA
Lycalopex griseus,Pseudalopex griseus,C,CARNIVORA,CANIDAE,3990,130.8,61,1,NA
Lycalopex gymnocercus,Pseudalopex gymnocercus,C,CARNIVORA,CANIDAE,4542.67,164.4,72,1,NA
Lycalopex vetulus,Pseudalopex vetulus,C,CARNIVORA,CANIDAE,4233.47,151.2,47,2,NA
Lycaon pictus,Lycaon pictus,C,CARNIVORA,CANIDAE,21999.99,132,707,12,11.09
Lynx canadensis,Lynx canadensis,C,CARNIVORA,FELIDAE,9682.82,321,389,12,10.34
Lynx lynx,Lynx lynx,C,CARNIVORA,FELIDAE,19300,321.6,1393,26,9.074
Lynx pardinus,Lynx pardinus,C,CARNIVORA,FELIDAE,11050,156,209,31,NA
Lynx rufus,Lynx rufus,C,CARNIVORA,FELIDAE,6374.47,388,771,59,7.303
